Production_ID,Production_DateTime,Production_Date,Production_Hour,Production_Week,Production_Month,Shift_Type,Production_Line,Product_Type,Batch_Number,Machine_ID,Machine_Temperature,Machine_Run_Time,Downtime_Minutes,Maintenance_Status,Power_Consumption,Operator_ID,Operator_Experience,Shift_Hours,Material_Type,Material_Quality,Supplier_ID,Inventory_Level,Production_Target,Actual_Output,Production_Efficiency,Cycle_Time,Defect_Count,Rejection_Count,Factory_Temperature,Humidity_Level,Noise_Level,Delay_Status,Defect_Status,Failure_Risk,Predicted_Output
34,2025-12-19 02:40:57.973205,2025-12-19,2,51,12,C,Line-1,Microchip,BATCH-0886,M-103,88.05,17,73,Pending,31.49,1032,9.0,9,Copper,High,232,552.0,806,555,99.69,0.89,18,1,33.32,35.43,64.29,0,0,1,548
35,2026-02-03 01:07:57.973205,2026-02-03,1,6,2,A,Line-2,PCB,BATCH-5923,M-102,64.83,23,54,Done,19.82,1040,6.0,6,Copper,Low,227,797.0,863,708,69.25,2.05,2,0,21.5,71.53,73.24,1,0,0,690
36,2025-05-22 23:41:57.973205,2025-05-22,23,21,5,C,Line-3,PCB,BATCH-5030,M-101,56.25,11,40,,16.12,1005,6.0,12,Copper,High,209,948.0,1181,473,71.0,3.93,3,10,35.0,54.91,93.06,0,0,0,484
37,2026-01-10 07:20:57.973205,2026-01-10,7,2,1,B,Line-1,Sensor,BATCH-2514,M-103,67.72,18,119,Done,58.32,1006,11.0,7,Copper,Low,226,839.0,1195,542,81.19,3.39,3,2,36.13,47.62,74.32,0,0,0,548
38,2026-04-15 22:30:57.973205,2026-04-15,22,16,4,C,Line-2,Sensor,BATCH-1267,M-101,110.55,13,82,Pending,15.33,1047,14.0,7,Copper,High,250,786.0,433,418,61.74,0.86,6,1,37.86,76.13,71.67,1,0,1,424
39,2025-06-11 11:26:57.973205,2025-06-11,11,24,6,C,Line-3,Microchip,BATCH-3139,M-103,73.85,20,32,Pending,57.27,1035,5.0,12,Plastic,Low,230,414.0,695,511,98.65,0.97,2,3,35.62,50.59,55.75,0,0,0,520
40,2026-01-23 05:22:57.973205,2026-01-23,5,4,1,C,Line-1,PCB,BATCH-6398,M-102,90.09,23,45,Pending,51.1,1024,3.0,10,Plastic,High,208,278.0,371,590,95.97,0.83,16,9,40.0,78.04,52.45,0,0,0,583
41,2026-04-03 05:02:57.973205,2026-04-03,5,14,4,B,Line-2,Microchip,BATCH-5627,M-104,52.1,9,77,Done,56.8,1004,9.0,7,Silicon,Low,247,113.0,532,545,88.04,0.72,20,2,22.42,36.2,64.03,0,0,0,553
42,2026-02-01 15:59:57.973205,2026-02-01,15,5,2,C,Line-2,PCB,BATCH-9298,M-103,52.81,12,48,Pending,56.01,1035,10.0,8,Copper,High,238,714.0,689,398,98.45,4.79,3,9,26.4,76.89,100.66,0,0,0,413
43,2025-12-28 12:14:57.973205,2025-12-28,12,52,12,C,Line-2,Microchip,BATCH-6381,M-101,63.26,6,30,Pending,49.99,1031,3.0,11,Copper,Low,224,876.0,592,796,90.0,1.48,11,3,39.3,73.72,95.26,0,0,0,809
44,2025-09-21 00:28:57.973205,2025-09-21,0,38,9,A,Line-2,Sensor,BATCH-0687,M-104,60.77,7,109,Done,43.92,1033,11.0,12,Silicon,Medium,205,674.0,372,385,91.64,2.38,3,0,35.08,53.68,81.28,0,0,0,384
45,2025-05-25 04:03:57.973205,2025-05-25,4,21,5,B,Line-3,Sensor,BATCH-1000,M-103,98.51,23,57,Done,29.38,1023,10.0,11,Copper,Low,236,905.0,774,1074,98.89,1.96,3,7,31.79,32.57,78.17,0,1,0,1067
46,2025-12-03 03:15:57.973205,2025-12-03,3,49,12,B,Line-3,Microchip,BATCH-1997,M-102,72.87,14,66,Pending,56.98,1019,8.0,7,Plastic,Low,201,,708,328,82.55,3.52,15,8,33.83,42.8,52.66,0,0,0,320
47,2025-10-13 23:38:57.973205,2025-10-13,23,42,10,B,Line-3,PCB,BATCH-4034,M-101,115.92,13,16,Pending,37.07,1006,5.0,12,Plastic,Low,242,834.0,843,859,99.73,3.97,9,5,20.19,39.71,93.83,0,1,0,853
48,2026-05-05 18:56:57.973205,2026-05-05,18,19,5,A,Line-2,PCB,BATCH-9559,M-102,115.08,9,44,Done,24.48,1038,5.0,10,Plastic,Low,237,165.0,903,1052,72.28,1.06,13,4,36.03,53.39,94.51,0,1,0,1058
49,2025-07-01 22:12:57.973205,2025-07-01,22,27,7,C,Line-3,Sensor,BATCH-2233,M-101,78.35,10,64,Done,50.08,1025,3.0,9,Copper,Medium,245,759.0,536,682,91.28,3.71,16,3,29.84,61.78,68.52,0,0,0,663
50,2025-05-19 02:10:57.973205,2025-05-19,2,21,5,C,Line-3,Sensor,BATCH-2977,M-101,53.95,24,82,Done,44.85,1002,8.0,8,Plastic,High,222,109.0,846,602,86.38,3.93,11,5,39.58,46.66,70.76,0,0,0,611
51,2025-09-03 23:47:57.973205,2025-09-03,23,36,9,A,Line-2,Microchip,BATCH-0378,M-103,99.03,9,61,Done,17.05,1033,3.0,7,Plastic,Medium,206,410.0,1092,266,93.72,4.85,8,2,25.7,59.05,54.53,0,0,0,262
52,2026-03-11 09:47:57.973205,2026-03-11,9,11,3,C,Line-1,Sensor,BATCH-2083,M-101,82.31,19,83,Done,35.71,1009,8.0,7,Silicon,Low,218,444.0,821,946,63.83,4.11,16,4,22.16,77.18,109.0,1,0,0,946
53,2025-06-05 09:11:57.973205,2025-06-05,9,23,6,A,Line-2,PCB,BATCH-2635,M-103,74.91,11,103,Pending,31.75,1005,14.0,8,Silicon,Low,231,287.0,721,814,98.33,2.17,18,8,21.07,44.42,95.43,0,0,1,806
54,2026-03-21 11:42:57.973205,2026-03-21,11,12,3,A,Line-1,PCB,BATCH-8813,M-101,75.63,18,27,Done,40.16,1001,15.0,6,Silicon,Medium,206,150.0,1060,287,85.93,4.24,18,4,24.92,35.25,106.35,0,0,0,298
55,2025-08-04 21:22:57.973205,2025-08-04,21,32,8,B,Line-3,Microchip,BATCH-4140,M-104,117.81,11,54,Done,54.63,1007,8.0,8,Copper,High,230,436.0,722,587,65.09,3.89,13,4,31.63,39.44,98.89,1,0,0,582
56,2025-10-28 14:20:57.973205,2025-10-28,14,44,10,A,Line-1,PCB,BATCH-2104,M-104,57.89,9,57,Pending,25.89,1042,14.0,11,Plastic,Low,231,220.0,453,819,99.79,2.91,8,5,24.87,36.93,117.79,0,0,0,806
57,2025-11-02 15:15:57.973205,2025-11-02,15,44,11,A,Line-3,Sensor,BATCH-2013,M-101,118.66,13,109,Done,26.3,1017,12.0,9,Plastic,Medium,226,274.0,919,848,68.85,2.87,6,6,33.78,52.32,94.06,1,0,0,852
58,2026-02-16 05:32:57.973205,2026-02-16,5,8,2,B,Line-2,Microchip,BATCH-2125,M-104,51.65,16,92,Pending,33.67,1002,13.0,12,Plastic,Low,222,259.0,463,724,68.69,4.74,2,10,22.98,56.69,86.47,1,0,1,716
59,2025-08-02 18:52:57.973205,2025-08-02,18,31,8,B,Line-3,Microchip,BATCH-0430,M-102,110.03,21,105,Done,46.18,1030,12.0,11,Silicon,Medium,200,291.0,608,534,98.34,4.31,8,3,39.91,48.24,110.85,0,0,0,516
60,2025-07-15 22:39:57.973205,2025-07-15,22,29,7,C,Line-2,PCB,BATCH-3794,M-103,102.11,7,15,Done,22.34,1029,11.0,9,Silicon,Medium,239,966.0,1140,936,79.88,1.83,3,7,36.1,54.7,73.62,0,0,0,921
61,2025-06-02 16:03:57.973205,2025-06-02,16,23,6,A,Line-2,Sensor,BATCH-5211,M-104,100.93,7,55,Done,30.32,1035,5.0,12,Silicon,Low,229,332.0,1185,991,84.43,1.17,1,4,33.74,39.35,111.48,0,1,0,973
62,2025-06-09 14:06:57.973205,2025-06-09,14,24,6,B,Line-3,PCB,BATCH-6116,M-103,55.3,18,42,Done,25.02,1001,8.0,7,Copper,High,214,750.0,583,744,95.58,3.11,0,0,24.47,41.33,63.3,0,0,0,762
63,2026-02-26 06:06:57.973205,2026-02-26,6,9,2,C,Line-2,PCB,BATCH-7588,M-101,61.96,7,100,Done,29.83,1030,13.0,6,Plastic,High,243,615.0,918,221,66.64,3.54,19,9,36.19,50.2,96.64,1,0,0,221
64,2025-08-08 12:09:57.973205,2025-08-08,12,32,8,B,Line-2,Sensor,BATCH-6229,M-103,100.49,8,65,Done,43.68,1035,12.0,10,Copper,Medium,209,427.0,700,1037,85.47,1.19,17,4,22.51,65.81,93.48,0,0,0,1022
65,2026-04-17 19:55:57.973205,2026-04-17,19,16,4,A,Line-3,PCB,BATCH-5738,M-103,94.11,6,67,Done,39.45,1041,1.0,7,Copper,Medium,217,110.0,1198,974,81.53,0.99,9,0,34.7,77.04,52.45,0,0,0,976
66,2025-06-24 23:09:57.973205,2025-06-24,23,26,6,A,Line-1,Microchip,BATCH-9054,M-102,83.57,13,51,Done,35.98,1014,6.0,9,Plastic,High,230,862.0,588,573,77.8,3.68,8,0,32.6,67.16,57.36,0,0,0,567
67,2026-01-19 19:05:57.973205,2026-01-19,19,4,1,B,Line-3,Microchip,BATCH-7512,M-103,92.92,18,0,Done,18.17,1022,2.0,11,Silicon,High,204,778.0,432,455,70.45,4.43,10,8,25.37,61.88,100.97,0,0,0,452
68,2026-02-06 11:32:57.973205,2026-02-06,11,6,2,C,Line-1,Sensor,BATCH-3583,M-104,57.1,23,98,Pending,21.21,1011,10.0,9,Copper,Medium,227,1000.0,541,558,77.64,1.52,15,10,36.32,55.53,104.49,0,0,1,538
69,2025-07-04 04:30:57.973205,2025-07-04,4,27,7,A,Line-2,Microchip,BATCH-3831,M-101,66.13,14,120,Done,24.43,1002,4.0,8,Plastic,Medium,237,102.0,519,1050,69.1,2.44,4,4,21.96,42.75,108.93,1,0,0,1034
70,2025-12-30 23:45:57.973205,2025-12-30,23,1,12,B,Line-2,Microchip,BATCH-4494,M-104,107.43,9,89,Done,29.14,1039,2.0,8,Silicon,High,203,127.0,611,644,71.58,0.68,17,7,25.51,54.31,64.05,1,0,0,645
72,2026-03-03 16:23:57.973205,2026-03-03,16,10,3,B,Line-3,PCB,BATCH-8804,M-104,92.45,15,60,Done,41.35,1011,6.0,12,Copper,High,225,510.0,379,997,95.92,1.9,5,8,28.29,61.51,62.47,0,0,0,1011
73,2026-01-28 06:42:57.973205,2026-01-28,6,5,1,A,Line-3,Microchip,BATCH-3494,M-102,89.41,9,112,Done,48.72,1006,2.0,7,Silicon,High,241,773.0,768,437,80.31,4.54,7,3,38.38,54.83,73.73,0,0,0,431
74,2025-10-02 09:47:57.973205,2025-10-02,9,40,10,A,Line-2,Microchip,BATCH-7339,M-104,59.86,6,66,Done,42.77,1049,12.0,11,Copper,High,245,930.0,735,319,88.4,4.59,20,1,26.13,70.79,118.86,0,0,0,323
75,2026-05-13 15:53:57.973205,2026-05-13,15,20,5,A,Line-1,PCB,BATCH-6796,M-102,106.46,15,57,Done,20.69,1029,7.0,9,Silicon,Low,225,882.0,1072,789,71.67,1.99,6,2,23.25,41.35,91.25,1,1,0,775
76,2025-12-28 11:23:57.973205,2025-12-28,11,52,12,C,Line-3,Sensor,BATCH-2313,M-101,51.65,5,33,Done,30.74,1027,7.0,12,Copper,High,207,593.0,904,621,69.34,4.74,15,8,20.99,32.58,89.89,0,0,0,629
77,2025-12-19 00:22:57.973205,2025-12-19,0,51,12,B,Line-1,Microchip,BATCH-2126,M-102,98.01,19,21,Done,16.65,1050,11.0,10,Copper,High,224,650.0,1068,710,75.0,2.15,11,3,33.93,73.61,112.31,0,0,0,694
78,2025-10-02 09:04:57.973205,2025-10-02,9,40,10,C,Line-3,Microchip,BATCH-5038,M-103,96.24,11,40,Pending,31.15,1011,4.0,7,Silicon,High,212,351.0,674,601,91.07,4.02,17,8,30.43,77.48,60.89,0,0,0,601
79,2026-01-06 12:16:57.973205,2026-01-06,12,2,1,C,Line-2,Sensor,BATCH-5127,M-103,80.32,24,101,Done,16.2,1028,11.0,9,Plastic,High,206,829.0,1133,693,96.93,2.56,9,0,32.92,54.35,80.44,0,0,0,675
80,2025-12-14 02:36:57.973205,2025-12-14,2,50,12,C,Line-2,Sensor,BATCH-6421,M-102,116.4,19,92,Done,20.63,1012,6.0,6,Plastic,Medium,209,158.0,457,597,75.13,2.01,18,6,34.01,40.69,113.95,0,0,0,591
81,2025-07-21 16:11:57.973205,2025-07-21,16,30,7,C,Line-3,Microchip,BATCH-1747,M-102,92.03,7,77,Done,22.49,1041,9.0,11,Plastic,Medium,210,742.0,611,969,67.19,4.6,10,4,29.58,70.17,92.33,1,0,0,951
82,2025-10-11 19:22:57.973205,2025-10-11,19,41,10,A,Line-2,PCB,BATCH-8743,M-102,110.12,7,119,Done,42.97,1028,4.0,9,Copper,Medium,201,420.0,448,605,88.93,0.94,5,3,30.04,63.14,65.49,0,0,0,598
83,2025-05-28 02:31:57.973205,2025-05-28,2,22,5,A,Line-2,Microchip,BATCH-2209,M-103,110.19,9,94,Pending,15.21,1044,14.0,12,Plastic,Low,233,254.0,586,1085,87.54,1.67,2,10,21.15,70.31,66.71,0,1,1,1081
84,2026-03-26 23:20:57.973205,2026-03-26,23,13,3,B,Line-2,PCB,BATCH-9146,M-103,103.18,15,90,Done,46.65,1011,15.0,8,Plastic,High,212,836.0,730,1057,60.79,3.68,11,7,26.29,30.57,117.67,1,0,0,1038
86,2025-07-15 19:54:57.973205,2025-07-15,19,29,7,A,Line-1,Sensor,BATCH-4252,M-102,58.25,21,16,Done,24.82,1019,4.0,9,Silicon,Medium,250,694.0,574,208,62.61,4.62,13,4,26.06,62.74,58.22,0,0,0,189
87,2026-01-03 02:59:57.973205,2026-01-03,2,1,1,C,Line-2,PCB,BATCH-3679,M-103,68.78,5,24,Pending,58.34,1029,14.0,8,Copper,High,238,995.0,1059,1081,64.34,2.48,9,0,26.16,38.66,96.44,0,0,0,1097
88,2025-12-29 20:12:57.973205,2025-12-29,20,1,12,C,Line-1,Microchip,BATCH-0038,M-104,119.31,23,34,Done,49.73,1034,10.0,8,Plastic,Low,209,788.0,855,646,66.64,2.35,5,7,20.39,63.01,54.11,0,1,0,648
89,2025-09-28 15:07:57.973205,2025-09-28,15,39,9,A,Line-2,PCB,BATCH-3676,M-101,112.45,9,85,Pending,48.39,1047,14.0,12,Plastic,High,243,191.0,870,1092,72.11,3.69,18,10,38.24,51.87,94.27,1,0,1,1076
90,2025-11-21 09:32:57.973205,2025-11-21,9,47,11,C,Line-3,Sensor,BATCH-5013,M-103,98.8,9,9,Pending,31.77,1014,,10,Silicon,Medium,211,410.0,737,968,95.67,4.22,5,8,20.1,45.48,91.64,0,0,0,983
91,2026-02-16 10:08:57.973205,2026-02-16,10,8,2,A,Line-2,Sensor,BATCH-8659,M-102,113.76,20,91,Done,44.67,1024,1.0,9,Silicon,Medium,237,1000.0,927,836,77.36,3.2,17,6,25.87,69.36,66.54,0,0,0,847
92,2026-03-17 13:15:57.973205,2026-03-17,13,12,3,C,Line-2,Microchip,BATCH-9147,M-102,106.94,22,115,Pending,51.13,1032,7.0,12,Copper,High,229,139.0,954,807,96.2,0.69,0,5,38.03,40.89,62.43,0,0,1,795
94,2025-11-29 21:30:57.973205,2025-11-29,21,48,11,A,Line-2,Microchip,BATCH-0076,M-102,100.4,24,42,Pending,44.64,1036,4.0,12,Plastic,Medium,246,355.0,413,833,60.94,0.87,18,4,27.41,63.79,119.39,0,0,0,834
95,2025-07-09 13:51:57.973205,2025-07-09,13,28,7,B,Line-2,Sensor,BATCH-5137,M-102,55.58,6,78,Done,50.55,1022,14.0,8,Copper,Low,228,706.0,546,263,85.8,3.63,15,7,24.74,65.55,73.85,0,0,0,259
96,2026-01-29 03:34:57.973205,2026-01-29,3,5,1,B,Line-1,Microchip,BATCH-6895,M-103,92.05,10,26,Pending,36.08,1011,11.0,10,Copper,Medium,224,210.0,577,469,74.03,2.64,20,10,21.86,42.35,64.78,0,0,0,486
97,2025-08-21 03:07:57.973205,2025-08-21,3,34,8,A,Line-1,PCB,BATCH-2790,M-103,99.99,15,0,Pending,39.2,1002,1.0,12,Silicon,High,222,626.0,919,804,68.8,2.28,1,8,20.47,68.16,97.73,0,0,0,798
98,2025-12-15 10:16:57.973205,2025-12-15,10,51,12,C,Line-3,Microchip,BATCH-8148,M-104,75.53,10,108,Done,27.11,1017,13.0,11,Plastic,Medium,229,446.0,985,776,63.95,3.09,18,3,37.59,57.64,116.49,1,0,0,774
99,2026-03-25 17:40:57.973205,2026-03-25,17,13,3,C,Line-1,Sensor,BATCH-7587,M-102,102.53,8,13,Pending,52.45,1028,5.0,11,Silicon,Low,231,883.0,456,311,67.69,3.98,7,5,36.17,65.92,78.66,0,1,0,291
101,2026-05-08 04:47:57.973205,2026-05-08,4,19,5,A,Line-2,PCB,BATCH-7297,M-104,74.1,23,43,Done,23.22,1026,12.0,12,Copper,Low,236,836.0,1115,616,94.19,1.17,0,1,28.52,68.32,106.67,0,0,0,626
102,2025-08-05 18:19:57.973205,2025-08-05,18,32,8,B,Line-1,Microchip,BATCH-6051,M-102,60.56,12,115,Done,27.39,1008,14.0,11,Plastic,Medium,238,355.0,735,828,98.79,1.81,11,4,21.3,68.0,67.81,0,0,0,839
103,2025-05-22 13:49:57.973205,2025-05-22,13,21,5,B,Line-1,PCB,BATCH-5657,M-102,107.04,11,88,Pending,42.99,1013,11.0,8,Plastic,High,203,546.0,817,688,88.52,4.49,1,4,31.77,58.94,60.47,0,0,1,670
104,2026-02-11 01:07:57.973205,2026-02-11,1,7,2,C,Line-1,Microchip,BATCH-8774,M-104,69.93,11,98,Done,58.27,1049,1.0,6,Silicon,Medium,209,903.0,334,469,92.54,2.99,19,3,38.37,67.14,56.92,0,0,0,456
105,2026-04-21 01:50:57.973205,2026-04-21,1,17,4,C,Line-3,Sensor,BATCH-2712,M-104,86.49,17,39,Done,21.0,1029,10.0,9,Copper,High,245,,563,423,70.51,0.98,14,3,32.09,40.89,57.72,0,0,0,423
106,2025-12-03 19:24:57.973205,2025-12-03,19,49,12,A,Line-2,PCB,BATCH-9252,M-104,94.14,15,46,Done,50.53,1036,8.0,7,Plastic,Medium,228,152.0,408,947,92.88,1.34,0,8,38.19,51.76,65.53,0,0,0,948
108,2025-06-05 01:53:57.973205,2025-06-05,1,23,6,B,Line-2,PCB,BATCH-4749,M-104,79.09,23,24,Pending,55.8,1029,14.0,10,Copper,Low,244,969.0,939,451,88.37,2.18,13,0,38.79,33.02,67.13,0,0,0,439
109,2026-05-12 23:03:57.973205,2026-05-12,23,20,5,A,Line-3,PCB,BATCH-5215,M-102,116.28,23,48,Done,53.37,1034,1.0,10,Silicon,Low,214,981.0,339,921,87.09,2.02,11,8,31.77,33.88,65.2,0,1,0,919
110,2026-04-27 15:54:57.973205,2026-04-27,15,18,4,C,Line-2,Microchip,BATCH-9723,M-102,53.43,6,51,,25.65,1032,11.0,7,Silicon,Low,232,468.0,814,806,71.8,4.44,15,10,34.13,47.78,55.4,1,0,0,792
111,2025-10-05 06:50:57.973205,2025-10-05,6,40,10,B,Line-2,Sensor,BATCH-8029,M-104,110.06,14,61,Done,45.38,1003,13.0,9,Plastic,Medium,235,723.0,746,945,63.02,3.43,14,10,39.36,57.09,96.21,1,0,0,925
