Production_ID,Production_DateTime,Production_Date,Production_Hour,Production_Week,Production_Month,Shift_Type,Production_Line,Product_Type,Batch_Number,Machine_ID,Machine_Temperature,Machine_Run_Time,Downtime_Minutes,Maintenance_Status,Power_Consumption,Operator_ID,Operator_Experience,Shift_Hours,Material_Type,Material_Quality,Supplier_ID,Inventory_Level,Production_Target,Actual_Output,Production_Efficiency,Cycle_Time,Defect_Count,Rejection_Count,Factory_Temperature,Humidity_Level,Noise_Level,Delay_Status,Defect_Status,Failure_Risk,Predicted_Output
14,2025-08-04 20:39:35.823746,2025-08-04,20,32,8,C,Line-1,PCB,BATCH-2945,M-101,53.22,15,104,Pending,55.05,1048,15,10,Silicon,High,208,108,345,256,74.2,2.07,19,5,36.8,77.08,85.61,1,1,1,256
15,2026-01-20 16:51:35.823746,2026-01-20,16,4,1,C,Line-3,Sensor,BATCH-3380,M-103,72.45,18,64,Done,29.79,1021,13,12,Plastic,Low,211,994,601,548,91.18,0.68,13,10,34.16,34.6,65.66,0,1,0,539
16,2026-05-03 17:55:35.823746,2026-05-03,17,18,5,C,Line-3,Sensor,BATCH-8509,M-104,88.04,13,43,Pending,29.68,1013,3,9,Copper,Low,234,637,350,298,85.14,1.06,14,8,36.5,60.67,102.09,0,1,0,309
17,2025-10-13 01:21:35.823746,2025-10-13,1,42,10,B,Line-3,PCB,BATCH-1420,M-104,118.81,10,17,Pending,40.23,1030,13,6,Plastic,Medium,249,788,1152,1161,100.78,1.14,1,8,25.15,46.64,50.33,0,0,0,1159
18,2026-03-30 11:49:35.823746,2026-03-30,11,14,3,C,Line-1,PCB,BATCH-0725,M-103,78.44,15,50,Done,15.52,1020,12,9,Plastic,Medium,202,403,793,752,94.83,0.91,1,5,25.6,41.71,65.76,0,0,0,754
19,2025-09-30 01:38:35.823746,2025-09-30,1,40,9,C,Line-3,PCB,BATCH-8595,M-102,112.02,17,92,Done,19.43,1039,4,12,Silicon,High,242,749,780,681,87.31,3.43,1,1,35.92,38.35,62.46,0,0,0,698
20,2026-05-13 21:55:35.823746,2026-05-13,21,20,5,B,Line-1,PCB,BATCH-2426,M-104,106.43,7,34,Done,55.09,1015,12,7,Silicon,High,227,657,1065,1055,99.06,3.15,10,2,25.16,49.45,63.13,0,1,0,1040
21,2026-02-05 07:05:35.823746,2026-02-05,7,6,2,A,Line-2,PCB,BATCH-5033,M-103,104.18,21,0,Done,54.95,1001,1,12,Plastic,Medium,246,793,601,613,102.0,0.81,13,9,34.18,76.52,116.57,0,1,0,612
22,2026-01-19 19:38:35.823746,2026-01-19,19,4,1,C,Line-2,Sensor,BATCH-5735,M-101,100.35,12,57,Done,41.61,1003,14,9,Copper,High,211,868,513,469,91.42,4.38,1,9,38.83,77.34,91.67,0,0,0,451
23,2025-10-07 08:49:35.823746,2025-10-07,8,41,10,A,Line-1,PCB,BATCH-5966,M-103,96.56,8,27,Pending,36.27,1025,8,9,Copper,High,220,170,591,590,99.83,2.69,4,0,39.11,47.99,101.56,0,0,0,583
24,2026-03-27 15:27:35.823746,2026-03-27,15,13,3,A,Line-3,PCB,BATCH-6351,M-101,76.55,12,0,Done,17.99,1015,3,10,Silicon,Medium,248,885,1045,1061,101.53,2.91,3,1,24.29,62.55,86.9,0,0,0,1069
25,2025-09-26 02:20:35.823746,2025-09-26,2,39,9,A,Line-1,Sensor,BATCH-4867,M-101,85.92,24,21,Pending,56.3,1036,1,12,Plastic,Medium,232,955,317,308,97.16,0.56,2,6,33.79,42.87,53.42,0,0,0,322
26,2025-10-17 20:16:35.823746,2025-10-17,20,42,10,A,Line-3,PCB,BATCH-1206,M-102,55.35,15,3,Done,39.87,1022,2,10,Plastic,Low,231,786,449,460,102.45,0.93,2,6,26.29,46.4,74.0,0,0,0,463
27,2025-09-30 06:21:35.823746,2025-09-30,6,40,9,B,Line-2,Sensor,BATCH-2475,M-102,78.9,14,10,Done,17.72,1010,6,10,Plastic,High,201,430,498,500,100.4,4.49,0,3,31.04,54.92,111.02,0,0,0,480
28,2025-09-26 07:54:35.823746,2025-09-26,7,39,9,B,Line-1,PCB,BATCH-6478,M-101,103.89,19,35,Done,43.33,1009,7,9,Plastic,High,212,131,601,580,96.51,2.51,4,5,20.3,47.03,90.32,0,0,0,596
29,2026-05-14 12:17:35.823746,2026-05-14,12,20,5,B,Line-1,Microchip,BATCH-5003,M-102,82.85,22,32,Pending,15.68,1038,4,6,Plastic,Medium,207,190,697,673,96.56,2.24,3,4,26.05,74.95,83.96,0,0,0,689
30,2026-03-16 20:42:35.823746,2026-03-16,20,12,3,B,Line-1,Sensor,BATCH-0354,M-102,88.76,8,36,Pending,39.68,1003,11,11,Silicon,High,210,690,538,524,97.4,3.38,3,2,37.95,74.59,68.63,0,0,0,523
31,2025-08-04 08:53:35.823746,2025-08-04,8,32,8,A,Line-1,Sensor,BATCH-4879,M-103,89.87,11,27,Pending,22.83,1018,10,12,Plastic,Medium,212,197,772,775,100.39,1.13,4,9,21.53,64.52,53.2,0,0,0,759
32,2025-12-15 01:01:35.823746,2025-12-15,1,51,12,B,Line-3,Sensor,BATCH-5943,M-102,117.25,7,46,Done,26.87,1029,12,6,Silicon,High,249,777,850,828,97.41,3.74,1,2,30.73,35.04,81.82,0,0,0,816
33,2026-01-01 16:10:35.823746,2026-01-01,16,1,1,B,Line-2,Sensor,BATCH-9460,M-101,90.15,24,27,Done,53.29,1021,3,9,Silicon,High,223,518,496,475,95.77,1.9,0,7,28.87,73.04,83.2,0,0,0,465
34,2026-05-13 02:46:35.823746,2026-05-13,2,20,5,B,Line-2,PCB,BATCH-3622,M-104,101.49,6,15,Pending,39.4,1035,1,8,Silicon,Medium,209,417,740,727,98.24,3.62,4,4,32.51,38.27,90.28,0,0,0,707
35,2026-01-26 16:26:35.823746,2026-01-26,16,5,1,B,Line-1,Microchip,BATCH-5957,M-103,103.54,11,39,Done,44.78,1022,12,12,Plastic,High,204,404,681,666,97.8,3.75,14,4,31.53,35.64,78.56,0,1,0,682
36,2025-06-27 04:55:35.823746,2025-06-27,4,26,6,B,Line-1,PCB,BATCH-6568,M-103,73.99,6,50,Done,31.78,1006,15,6,Silicon,Low,215,898,1192,1172,98.32,1.14,8,2,30.93,31.43,119.83,0,1,0,1152
37,2026-05-05 04:42:35.823746,2026-05-05,4,19,5,B,Line-3,Sensor,BATCH-0378,M-102,80.02,21,42,Done,45.35,1021,6,12,Silicon,Medium,237,955,788,758,96.19,4.67,4,4,26.58,65.92,88.19,0,0,0,776
38,2025-08-06 09:54:35.823746,2025-08-06,9,32,8,B,Line-2,Sensor,BATCH-1976,M-104,77.62,15,41,Done,55.44,1013,7,6,Silicon,Medium,231,996,983,956,97.25,4.32,1,7,35.08,35.16,52.73,0,0,0,971
39,2025-10-23 01:21:35.823746,2025-10-23,1,43,10,C,Line-1,PCB,BATCH-7384,M-104,119.08,15,82,Done,42.39,1023,14,12,Silicon,High,240,776,526,457,86.88,3.08,0,4,24.61,78.58,81.41,0,0,0,470
40,2025-10-22 05:35:35.823746,2025-10-22,5,43,10,B,Line-1,Sensor,BATCH-9640,M-102,102.34,13,32,Pending,36.4,1045,6,11,Silicon,Medium,247,802,300,280,93.33,2.82,18,10,36.91,64.79,74.38,0,1,0,266
41,2026-03-06 19:43:35.823746,2026-03-06,19,10,3,B,Line-2,PCB,BATCH-4854,M-102,106.05,14,24,Done,50.56,1013,9,10,Plastic,High,226,589,337,331,98.22,4.65,4,8,30.32,46.92,110.98,0,0,0,346
42,2025-08-21 04:48:35.823746,2025-08-21,4,34,8,C,Line-1,PCB,BATCH-3412,M-104,108.63,16,66,Done,19.63,1044,7,11,Silicon,High,237,129,318,251,78.93,1.52,12,4,27.46,61.7,96.55,0,1,0,247
43,2025-07-27 01:51:35.823746,2025-07-27,1,30,7,B,Line-2,Sensor,BATCH-3662,M-101,70.02,23,16,Done,36.14,1046,10,11,Copper,High,210,417,1175,1179,100.34,3.54,2,8,27.31,65.78,101.49,0,0,0,1180
44,2025-09-30 09:29:35.823746,2025-09-30,9,40,9,A,Line-3,PCB,BATCH-7004,M-103,69.94,13,16,Done,32.11,1017,12,9,Plastic,Low,204,899,1121,1139,101.61,1.41,0,6,22.83,62.36,103.06,0,0,0,1135
45,2025-10-27 19:47:35.823746,2025-10-27,19,44,10,A,Line-2,Microchip,BATCH-4615,M-103,112.1,5,2,Pending,39.53,1044,15,6,Plastic,Low,205,532,597,635,106.37,2.42,0,0,20.68,62.49,64.3,0,0,0,623
46,2025-10-13 17:23:35.823746,2025-10-13,17,42,10,A,Line-3,Microchip,BATCH-3628,M-104,80.46,11,19,Done,21.98,1036,12,11,Silicon,Medium,247,589,1156,1171,101.3,2.85,0,2,22.16,70.02,88.92,0,0,0,1178
47,2026-04-28 16:21:35.823746,2026-04-28,16,18,4,C,Line-3,Sensor,BATCH-1603,M-103,102.42,16,54,Done,37.98,1036,6,6,Silicon,Low,234,527,1039,982,94.51,1.7,12,10,21.74,32.1,119.51,0,1,0,983
48,2025-10-08 08:47:35.823746,2025-10-08,8,41,10,A,Line-2,PCB,BATCH-8224,M-104,55.21,22,15,Pending,39.44,1046,6,7,Plastic,High,237,620,961,968,100.73,0.87,4,6,23.59,57.98,92.11,0,0,0,952
49,2026-01-04 17:59:35.823746,2026-01-04,17,1,1,A,Line-2,Sensor,BATCH-1217,M-104,64.96,21,25,Done,44.41,1029,10,8,Copper,Medium,250,835,543,548,100.92,1.3,2,6,30.02,78.5,74.03,0,0,0,546
50,2026-02-18 01:58:35.823746,2026-02-18,1,8,2,C,Line-2,Sensor,BATCH-7041,M-104,58.74,8,119,Done,44.25,1025,4,10,Copper,High,216,357,607,481,79.24,4.0,18,2,31.23,55.52,66.87,0,1,0,463
51,2026-02-20 06:21:35.823746,2026-02-20,6,8,2,C,Line-2,Microchip,BATCH-3339,M-103,98.41,15,89,Done,37.48,1044,6,11,Plastic,Medium,230,471,770,678,88.05,2.44,11,5,35.42,42.72,50.2,0,1,0,685
52,2026-04-09 08:56:35.823746,2026-04-09,8,15,4,B,Line-1,PCB,BATCH-9331,M-101,90.54,6,23,Done,33.01,1045,5,10,Plastic,High,250,358,392,379,96.68,4.7,0,6,26.07,36.21,115.67,0,0,0,397
53,2025-09-04 05:28:35.823746,2025-09-04,5,36,9,B,Line-2,Sensor,BATCH-1048,M-103,50.71,12,23,Pending,20.87,1022,9,9,Copper,High,242,965,1182,1177,99.58,1.56,1,0,36.63,68.48,75.3,0,0,0,1194
54,2026-03-27 12:51:35.823746,2026-03-27,12,13,3,A,Line-3,Sensor,BATCH-1642,M-103,74.96,10,0,Pending,21.86,1044,1,6,Copper,High,228,835,613,625,101.96,2.05,3,6,36.27,71.55,65.33,0,0,0,625
55,2026-01-13 00:40:35.823746,2026-01-13,0,3,1,A,Line-2,Sensor,BATCH-7161,M-101,72.3,15,11,Done,19.2,1038,13,7,Copper,High,236,121,691,716,103.62,2.39,4,0,28.02,74.25,75.75,0,0,0,706
56,2025-09-28 13:31:35.823746,2025-09-28,13,39,9,C,Line-3,Microchip,BATCH-7319,M-103,117.38,8,60,Done,42.48,1016,5,6,Copper,Medium,231,307,1064,999,93.89,4.27,2,3,36.75,49.35,51.19,0,0,0,1010
57,2026-03-28 22:52:35.823746,2026-03-28,22,13,3,A,Line-3,PCB,BATCH-9593,M-102,104.1,20,22,Done,30.57,1038,8,11,Plastic,High,206,664,304,308,101.32,3.22,1,6,32.9,67.53,70.69,0,0,0,304
58,2025-07-17 01:33:35.823746,2025-07-17,1,29,7,C,Line-2,PCB,BATCH-1697,M-102,111.69,11,90,Done,20.8,1014,1,9,Plastic,High,237,794,370,267,72.16,0.66,13,5,23.09,78.18,105.08,1,1,0,275
59,2026-02-27 16:53:35.823746,2026-02-27,16,9,2,C,Line-1,Sensor,BATCH-3910,M-101,110.84,10,65,Done,36.37,1023,11,9,Silicon,Medium,205,972,774,716,92.51,2.34,0,9,24.24,78.04,111.66,0,0,0,706
60,2025-11-05 09:58:35.823746,2025-11-05,9,45,11,C,Line-3,Sensor,BATCH-4565,M-102,115.04,6,82,Done,36.9,1024,6,11,Silicon,High,226,481,705,620,87.94,4.25,4,9,25.59,59.78,98.27,0,0,0,628
61,2025-07-13 05:42:35.823746,2025-07-13,5,28,7,B,Line-3,Sensor,BATCH-6154,M-102,50.73,22,37,Done,59.54,1023,14,7,Copper,Medium,236,114,636,627,98.58,3.33,0,6,22.6,58.06,109.17,0,0,0,644
62,2025-07-15 15:41:35.823746,2025-07-15,15,29,7,C,Line-2,Microchip,BATCH-0267,M-101,111.72,8,117,Done,59.31,1026,9,6,Silicon,High,246,580,817,703,86.05,1.85,11,10,27.91,47.7,50.88,0,1,0,705
63,2025-11-21 07:28:35.823746,2025-11-21,7,47,11,A,Line-2,PCB,BATCH-2774,M-104,100.22,7,11,Done,28.85,1030,8,9,Silicon,High,218,536,798,813,101.88,3.39,3,7,27.52,60.04,95.32,0,0,0,795
64,2025-11-28 21:13:35.823746,2025-11-28,21,48,11,A,Line-2,PCB,BATCH-6735,M-104,111.11,5,11,Done,19.59,1015,14,12,Silicon,Low,210,526,464,491,105.82,3.35,18,6,29.69,39.31,60.9,0,1,0,493
65,2025-12-06 07:32:35.823746,2025-12-06,7,49,12,A,Line-3,Microchip,BATCH-5017,M-102,101.5,14,0,Done,46.44,1001,8,6,Plastic,Medium,222,443,641,667,104.06,3.34,0,8,23.62,73.32,106.95,0,0,0,686
66,2026-02-25 15:27:35.823746,2026-02-25,15,9,2,A,Line-1,Sensor,BATCH-0801,M-101,118.99,24,23,Done,41.51,1006,14,9,Plastic,Medium,234,623,1125,1140,101.33,3.29,0,2,36.59,54.04,76.63,0,0,0,1153
67,2025-11-09 04:47:35.823746,2025-11-09,4,45,11,A,Line-2,PCB,BATCH-5461,M-102,94.76,12,13,Done,40.65,1006,4,7,Copper,Low,213,360,721,726,100.69,1.01,8,2,25.97,36.74,88.43,0,1,0,722
68,2025-06-19 05:47:35.823746,2025-06-19,5,25,6,C,Line-3,Microchip,BATCH-0985,M-104,89.52,5,37,Done,28.1,1046,13,7,Copper,High,201,924,1025,999,97.46,0.66,3,4,34.89,71.47,52.67,0,0,0,990
69,2025-09-24 21:45:35.823746,2025-09-24,21,39,9,A,Line-1,Microchip,BATCH-2974,M-102,99.49,11,5,Pending,16.39,1044,10,7,Copper,High,220,1000,1165,1190,102.15,4.71,5,9,27.77,77.58,119.85,0,1,0,1190
70,2026-03-24 04:42:35.823746,2026-03-24,4,13,3,B,Line-1,PCB,BATCH-9318,M-102,92.44,6,37,Done,43.26,1013,14,9,Silicon,High,204,642,1087,1078,99.17,2.87,3,6,37.07,56.91,78.49,0,0,0,1096
71,2025-09-20 08:32:35.823746,2025-09-20,8,38,9,C,Line-2,PCB,BATCH-8928,M-103,69.77,17,51,Pending,58.59,1006,8,11,Copper,Low,217,139,1156,1106,95.67,1.96,6,9,22.69,75.92,77.23,0,1,0,1107
72,2025-08-16 04:20:35.823746,2025-08-16,4,33,8,A,Line-2,Sensor,BATCH-1969,M-101,58.97,21,11,Done,56.56,1020,9,9,Plastic,High,236,359,1167,1184,101.46,3.03,3,0,36.36,70.3,67.25,0,0,0,1200
73,2026-04-03 07:04:35.823746,2026-04-03,7,14,4,C,Line-1,Sensor,BATCH-3376,M-102,57.82,10,104,Pending,17.25,1036,6,9,Silicon,High,213,487,734,627,85.42,4.14,16,9,28.2,59.06,58.79,0,1,1,624
74,2025-11-25 03:05:35.823746,2025-11-25,3,48,11,A,Line-3,PCB,BATCH-4097,M-102,85.74,12,23,Done,15.64,1031,3,7,Copper,Medium,248,621,850,843,99.18,2.73,3,1,20.55,52.43,73.61,0,0,0,825
75,2025-12-14 17:03:35.823746,2025-12-14,17,50,12,B,Line-2,PCB,BATCH-9588,M-102,116.46,18,37,Done,17.78,1036,15,7,Copper,Medium,207,748,919,912,99.24,2.01,2,4,27.1,62.36,75.58,0,0,0,893
76,2025-08-02 05:09:35.823746,2025-08-02,5,31,8,C,Line-2,Microchip,BATCH-0614,M-104,60.36,11,96,Done,52.72,1045,8,7,Plastic,High,227,792,1052,957,90.97,2.42,1,8,38.97,78.88,103.99,0,0,0,976
77,2025-07-31 05:05:35.823746,2025-07-31,5,31,7,A,Line-3,Microchip,BATCH-5636,M-104,108.79,18,15,Done,45.3,1026,15,11,Plastic,High,232,561,812,837,103.08,0.91,10,10,37.1,55.68,86.58,0,1,0,856
78,2026-03-27 03:33:35.823746,2026-03-27,3,13,3,A,Line-2,PCB,BATCH-8791,M-103,61.47,11,15,Done,40.94,1029,7,6,Plastic,Medium,219,618,383,392,102.35,2.96,1,1,20.52,58.85,99.42,0,0,0,390
79,2025-06-09 16:59:35.823746,2025-06-09,16,24,6,A,Line-1,PCB,BATCH-2718,M-104,99.45,22,12,Done,18.83,1017,3,8,Silicon,Medium,222,872,587,591,100.68,3.09,4,7,26.43,67.9,78.04,0,0,0,578
80,2025-06-26 12:21:35.823746,2025-06-26,12,26,6,B,Line-1,Sensor,BATCH-5854,M-104,57.33,15,37,Done,32.08,1034,5,8,Plastic,High,233,979,469,442,94.24,0.79,3,7,29.49,57.04,59.47,0,0,0,451
81,2026-01-06 21:43:35.823746,2026-01-06,21,2,1,C,Line-2,Microchip,BATCH-9463,M-102,90.13,11,35,Done,55.48,1012,6,8,Copper,High,244,938,1105,1067,96.56,1.68,17,7,35.73,40.1,92.62,0,1,0,1083
82,2025-10-17 22:51:35.823746,2025-10-17,22,42,10,B,Line-1,Sensor,BATCH-9812,M-104,88.08,15,46,Pending,55.51,1002,14,9,Copper,High,200,960,1158,1140,98.45,4.24,3,6,28.25,68.29,51.47,0,0,0,1153
83,2025-07-16 15:29:35.823746,2025-07-16,15,29,7,A,Line-1,Microchip,BATCH-7887,M-101,93.73,17,3,Done,33.8,1018,7,9,Plastic,High,216,627,382,403,105.5,3.94,1,3,21.13,56.16,72.75,0,0,0,385
84,2026-02-21 11:09:35.823746,2026-02-21,11,8,2,C,Line-2,PCB,BATCH-2901,M-101,56.81,13,60,Done,52.77,1038,6,8,Plastic,High,206,503,919,856,93.14,1.28,0,9,32.64,70.66,67.24,0,0,0,848
85,2025-08-06 15:23:35.823746,2025-08-06,15,32,8,C,Line-2,Sensor,BATCH-8360,M-104,61.88,5,65,Done,57.86,1011,1,7,Silicon,High,233,424,1169,1091,93.33,1.2,6,1,36.06,69.64,70.92,0,1,0,1096
86,2025-07-11 19:25:35.823746,2025-07-11,19,28,7,C,Line-3,Sensor,BATCH-0184,M-101,115.42,16,74,Done,36.65,1031,7,9,Silicon,High,243,559,755,680,90.07,2.49,1,0,22.54,36.66,118.22,0,0,0,673
87,2026-02-01 14:07:35.823746,2026-02-01,14,5,2,B,Line-2,Microchip,BATCH-3869,M-103,85.55,20,28,Done,53.86,1016,4,8,Plastic,High,224,925,948,928,97.89,2.26,1,9,24.55,43.52,100.52,0,0,0,935
88,2025-07-01 04:55:35.823746,2025-07-01,4,27,7,B,Line-1,Microchip,BATCH-2079,M-101,88.92,8,46,Done,20.15,1022,6,11,Plastic,High,247,650,344,310,90.12,1.08,3,3,20.46,31.94,76.02,0,0,0,306
89,2025-11-21 11:56:35.823746,2025-11-21,11,47,11,A,Line-2,PCB,BATCH-2653,M-102,68.6,13,15,Done,49.76,1042,6,8,Silicon,Medium,216,891,959,966,100.73,2.01,0,6,29.39,50.78,51.52,0,0,0,980
90,2026-04-03 17:48:35.823746,2026-04-03,17,14,4,B,Line-2,PCB,BATCH-0707,M-103,111.49,20,32,Done,44.34,1022,10,7,Silicon,High,232,915,468,456,97.44,1.72,5,10,31.59,73.03,88.18,0,1,0,449
91,2025-07-18 17:35:35.823746,2025-07-18,17,29,7,C,Line-3,Sensor,BATCH-7156,M-102,58.99,18,79,Done,50.59,1048,4,12,Silicon,Medium,246,123,318,232,72.96,4.01,13,8,22.75,44.12,97.0,1,1,0,217
92,2025-12-25 13:30:35.823746,2025-12-25,13,52,12,A,Line-1,Sensor,BATCH-5723,M-103,112.56,10,7,Done,32.03,1014,11,11,Silicon,High,231,514,939,964,102.66,2.14,2,3,23.05,34.82,117.94,0,0,0,976
93,2025-08-17 13:02:35.823746,2025-08-17,13,33,8,A,Line-3,Microchip,BATCH-9099,M-104,54.15,19,25,Done,36.24,1002,4,8,Copper,Medium,230,562,992,985,99.29,3.0,3,1,29.63,48.75,92.43,0,0,0,999
94,2025-10-16 13:53:35.823746,2025-10-16,13,42,10,B,Line-3,Microchip,BATCH-7639,M-104,116.74,6,27,Done,29.2,1014,3,8,Silicon,Medium,201,917,721,700,97.09,3.15,10,4,39.82,45.99,76.31,0,1,0,704
95,2026-03-07 19:43:35.823746,2026-03-07,19,10,3,B,Line-3,Sensor,BATCH-1960,M-104,87.64,15,43,Done,30.2,1048,7,6,Copper,Medium,231,875,1030,1001,97.18,2.65,2,4,25.22,59.6,67.28,0,0,0,983
96,2025-07-04 19:46:35.823746,2025-07-04,19,27,7,B,Line-3,PCB,BATCH-2860,M-103,97.02,12,28,Pending,48.64,1009,10,12,Plastic,High,237,490,720,712,98.89,3.32,1,7,34.29,54.5,112.14,0,0,0,718
97,2025-06-28 21:32:35.823746,2025-06-28,21,26,6,A,Line-1,Sensor,BATCH-8184,M-103,78.86,10,27,Done,18.52,1003,13,10,Copper,Low,221,569,409,418,102.2,0.55,2,4,27.75,35.33,76.82,0,0,0,432
98,2025-06-13 11:05:35.823746,2025-06-13,11,24,6,B,Line-1,Sensor,BATCH-4099,M-102,61.69,16,25,Pending,35.14,1013,4,7,Silicon,High,206,494,1043,1026,98.37,0.54,0,2,30.8,31.79,101.94,0,0,0,1037
99,2025-10-19 14:36:35.823746,2025-10-19,14,42,10,A,Line-1,PCB,BATCH-9821,M-101,72.84,14,25,Done,43.99,1029,1,9,Silicon,High,248,266,607,594,97.86,1.63,2,7,30.54,66.64,116.98,0,0,0,609
100,2025-07-24 12:09:35.823746,2025-07-24,12,30,7,C,Line-3,Sensor,BATCH-3086,M-104,68.3,20,63,Done,47.36,1009,14,7,Plastic,Medium,205,804,751,701,93.34,1.39,8,8,26.24,63.73,88.67,0,1,0,721
101,2025-06-28 15:12:35.823746,2025-06-28,15,26,6,B,Line-1,Microchip,BATCH-4062,M-103,82.34,15,20,Done,25.47,1038,2,10,Copper,Medium,232,887,542,526,97.05,1.23,0,1,28.38,55.8,108.88,0,0,0,527
102,2025-11-06 05:45:35.823746,2025-11-06,5,45,11,B,Line-3,Microchip,BATCH-4843,M-104,90.49,23,25,Pending,44.16,1023,5,10,Silicon,Low,228,805,528,513,97.16,3.27,18,2,29.54,60.61,64.25,0,1,0,497
103,2026-04-03 10:49:35.823746,2026-04-03,10,14,4,A,Line-2,Sensor,BATCH-2077,M-103,70.48,22,20,Done,55.61,1037,5,7,Silicon,High,241,666,717,717,100.0,4.53,1,9,21.57,47.94,103.9,0,0,0,722
104,2026-01-09 16:40:35.823746,2026-01-09,16,2,1,C,Line-3,Microchip,BATCH-2868,M-103,75.01,17,44,Done,57.76,1045,9,8,Plastic,Low,206,912,694,653,94.09,4.97,16,2,22.24,68.87,81.71,0,1,0,669
105,2025-06-09 21:44:35.823746,2025-06-09,21,24,6,C,Line-3,PCB,BATCH-5828,M-104,73.69,21,98,Done,41.95,1027,2,10,Copper,High,200,337,643,534,83.05,1.82,4,8,20.33,59.75,58.27,0,0,0,520
106,2025-07-30 01:55:35.823746,2025-07-30,1,31,7,B,Line-1,PCB,BATCH-8913,M-101,87.44,17,35,Done,33.55,1037,15,8,Plastic,Low,235,602,1170,1165,99.57,2.0,13,7,20.45,34.85,52.71,0,1,0,1179
107,2025-06-14 13:24:35.823746,2025-06-14,13,24,6,C,Line-2,Microchip,BATCH-5921,M-101,91.28,14,50,Done,31.54,1005,2,11,Copper,Medium,231,606,413,352,85.23,0.85,1,6,33.51,51.87,77.53,0,0,0,369
